model_name,threshold,precision,recall,f1,predicted_positive_rate,predicted_positive_customers
behavioral_plus_channel,0.69,0.683762337913683,0.08704114313870412,0.1544244596455187,0.03484811697420956,5167
behavioral_plus_channel,0.7,0.6881930854533594,0.07797487065779748,0.1400783376485428,0.031017319520880545,4599
behavioral_plus_channel,0.71,0.6958110082805651,0.07038679477703869,0.1278414175765169,0.027692349196072084,4106
behavioral_plus_channel,0.72,0.6988183566913987,0.06265089923626509,0.11499242578398788,0.024542732275817415,3639
behavioral_plus_channel,0.73,0.701743264659271,0.05454545454545454,0.10122299691393302,0.021278461206431423,3155
behavioral_plus_channel,0.74,0.7007959479015919,0.047721113574772114,0.08935738340176223,0.01864141577641092,2764
behavioral_plus_channel,0.75,0.704225352112676,0.04065040650406504,0.07686395080707148,0.015802039494982194,2343
behavioral_plus_channel,0.76,0.7071320182094082,0.034441980783444195,0.06568468531961379,0.013333603107801878,1977
behavioral_plus_channel,0.77,0.7136672850958565,0.028430647942843064,0.05468287250929941,0.010905632890903206,1617
behavioral_plus_channel,0.78,0.7166666666666667,0.023306233062330622,0.04514435695538058,0.0089025574619618,1320
behavioral_plus_channel,0.79,0.7276119402985075,0.019216555801921657,0.03744419374969997,0.0072299557569871584,1072
behavioral_plus_channel,0.8,0.7312206572769953,0.015348608031534861,0.03006611650016891,0.005746196179993526,852
behavioral_plus_channel,0.81,0.7160883280757098,0.011185020941118503,0.022026004269357656,0.0042759253264271066,634
behavioral_plus_channel,0.82,0.7380410022779044,0.007982261640798226,0.015793706890248362,0.0029607747922736592,439
behavioral_plus_channel,0.83,0.7524752475247525,0.005617147080561715,0.011151052747413983,0.0020435415992230495,303
behavioral_plus_channel,0.84,0.7485380116959064,0.0031534860803153486,0.0062805132356909795,0.0011532858530268696,171
behavioral_plus_channel,0.85,0.7209302325581395,0.001527469820152747,0.003048480676566034,0.0005800151073702385,86
behavioral_plus_channel,0.86,0.7352941176470589,0.0006159152500615915,0.0012307995273729815,0.00022930829826265243,34
